Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;03/2010;663.496.402;283.114.949;625.795.551;518.326.998;37.700.851;2.405.792;56.959.555;14,15%;19,09%;4.993;1.690
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2010;611.485.163;253.005.994;557.575.478;395.083.510;53.909.685;3.261.333;73.561.168;17,38%;32,08%;4.642;988
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2010;471.463.929;198.067.928;428.207.776;344.314.443;43.256.154;2.107.837;55.675.612;16,76%;45,06%;3.489;1.201
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2010;383.416.042;161.019.161;355.662.502;208.582.840;27.753.541;915.949;54.377.861;17,80%;0,61%;4;0
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2010;364.315.306;136.643.567;350.583.439;305.755.456;13.731.867;777.550;30.014.052;18,12%;14,98%;2.091;497
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;03/2010;334.167.948;143.567.537;268.461.767;180.514.843;65.706.181;1.028.608;74.235.679;32,07%;39,81%;2.402;1.493
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2010;111.905.774;41.668.652;104.806.998;79.274.389;7.098.776;243.502;8.792.165;14,25%;33,18%;896;412
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2010;97.188.245;45.276.706;89.210.439;68.281.541;7.977.807;259.129;11.360.730;14,73%;1,09%;121;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2010;68.038.640;28.914.306;63.226.284;44.559.600;4.812.356;205.026;5.729.900;14,63%;26,27%;102;17
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2010;48.923.405;14.634.328;43.729.018;18.072.378;5.194.386;123.501;5.827.428;15,40%;15,07%;138;10
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;03/2010;35.395.109;2.057.646;32.086.631;22.280.200;3.308.478;197.039;3.243.935;17,00%;2,90%;9;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;03/2010;30.061.555;14.765.733;26.580.708;20.236.992;3.480.847;121.888;3.422.912;16,49%;8,45%;437;241
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;03/2010;25.009.695;3.608.825;21.991.950;15.004.817;3.017.745;62.162;3.013.478;20,58%;15,77%;9;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;03/2010;19.258.656;9.726.120;17.174.878;9.668.639;2.083.777;65.957;2.715.680;12,66%;7,03%;183;4
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;03/2010;19.149.116;5.955.425;16.986.983;9.386.091;2.162.133;39.794;2.436.198;24,87%;14,67%;14;1
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;03/2010;17.368.225;14.830.000;15.724.391;11.309.737;1.643.834;61.234;1.929.839;12,71%;7,48%;1;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;03/2010;14.447.250;1.448.415;13.509.626;4.594.816;937.624;24.166;989.319;14,99%;8,84%;2;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;03/2010;13.328.422;313.606;11.739.112;5.214.878;1.589.310;48.452;1.573.335;22,52%;3,07%;7;1
BIC;32119;b1;;C;2;SAO PAULO;SP;03/2010;13.290.384;10.428.511;11.488.296;10.145.931;1.802.089;80.570;2.199.456;15,11%;2,58%;35;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;03/2010;12.978.256;5.912.280;11.261.138;8.929.681;1.717.119;43.114;1.774.011;21,05%;10,30%;49;1
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;03/2010;11.061.969;6.818.232;9.436.250;6.383.908;1.625.719;44.296;1.852.102;14,82%;7,40%;5;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;03/2010;10.323.342;4.128.959;10.105.965;9.916.225;217.376;8.215;312.980;14,04%;21,14%;5;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;03/2010;9.995.024;7.219.186;7.979.541;5.584.548;2.015.483;150.586;2.632.377;13,84%;1,96%;18;1
BANESTES;30159;b1;;C;1;VITORIA;ES;03/2010;9.320.290;3.537.089;8.627.211;8.157.672;693.079;36.725;690.099;15,22%;20,65%;130;27
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;03/2010;8.622.658;4.500.457;7.880.568;6.566.177;742.090;114.072;976.505;15,53%;10,27%;154;3
FIBRA;49951;b1;;C;2;SAO PAULO;SP;03/2010;8.388.299;5.667.206;7.574.805;6.379.944;813.493;29.003;1.134.906;16,56%;40,44%;16;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;03/2010;8.162.330;6.292.983;6.915.180;6.454.045;1.247.149;46.934;1.257.234;13,28%;3,61%;7;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;03/2010;7.859.620;1.761.242;6.013.619;2.948.530;1.846.000;-54.378;1.820.932;20,89%;11,78%;106;7
PINE;50304;b1;;C;2;SAO PAULO;SP;03/2010;7.792.343;3.995.783;6.953.316;6.513.653;839.027;30.154;865.730;14,93%;2,46%;9;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;03/2010;7.714.169;2.537.909;7.528.431;7.064.632;185.738;6.907;263.064;12,57%;25,75%;8;0
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;03/2010;7.628.774;1.685.450;6.536.254;5.143.418;1.092.520;39.668;1.089.800;15,14%;8,47%;10;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;03/2010;7.521.671;5.936.809;6.423.658;6.193.537;1.098.013;21.906;1.126.425;18,37%;1,72%;3;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;03/2010;7.443.453;3.839.970;5.719.887;5.186.834;1.723.566;54.644;1.723.566;27,19%;3,80%;27;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;03/2010;7.437.721;5.810.113;6.593.568;4.822.517;844.152;11.021;940.264;14,04%;0,17%;2;0
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;03/2010;7.378.105;3.289.254;6.282.873;1.625.923;1.095.231;34.623;986.160;13,77%;21,51%;1;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;03/2010;7.363.716;2.832.737;6.815.056;6.091.466;548.660;932;822.709;13,96%;0,84%;14;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;03/2010;7.228.863;3.294.916;6.126.546;4.607.204;1.102.318;-1.979;1.099.549;19,85%;47,75%;5;0
BBM;30207;b1;;C;2;SALVADOR;BA;03/2010;7.203.353;959.647;6.543.626;4.410.539;659.727;14.587;650.669;22,40%;5,29%;9;0
BRB;31976;b1;;C;1;BRASILIA;DF;03/2010;6.554.648;3.326.278;5.931.960;5.407.258;622.688;40.229;617.562;15,59%;20,12%;62;44
SOFISA;31873;b1;;C;2;SAO PAULO;SP;03/2010;5.898.660;2.725.079;5.152.632;3.171.804;746.027;10.049;742.020;15,30%;43,24%;20;0
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;03/2010;5.779.989;2.776.975;5.305.928;2.201.486;474.061;13.813;442.961;14,84%;0,08%;4;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;03/2010;4.918.447;1.200;212.968;79;4.705.479;4.083;4.705.479;88,31%;0,00%;1;0
BES;51482;b2;;C;3;SAO PAULO;SP;03/2010;4.773.069;637.669;4.345.016;4.044.221;428.053;6.513;500.419;21,37%;16,67%;5;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;03/2010;4.542.644;0;3.412.535;2.476.542;1.130.109;59.097;1.121.295;52,13%;1,36%;2;0
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;03/2010;4.369.044;2.246.973;4.135.574;2.231.225;233.469;15.117;277.560;12,76%;1,24%;2;0
MERRILL LYNCH;51255;b2;;C;3;SAO PAULO;SP;03/2010;4.208.329;0;3.144.658;443.420;1.063.671;31.949;1.146.773;58,68%;1,33%;2;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;03/2010;4.129.854;3.560.523;3.678.600;3.114.383;451.254;-8.258;446.995;12,59%;0,76%;1;0
BANCO BVA S.A.;32254138;b1;;I;2;RIO DE JANEIRO;RJ;03/2010;3.877.324;2.222.549;3.626.618;3.445.053;250.706;20.251;351.417;11,15%;32,29%;6;0
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;03/2010;3.751.522;1.980.427;3.337.587;2.898.774;413.935;710;400.797;12,53%;25,26%;2;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;03/2010;3.653.043;2.769.178;3.309.660;3.139.131;343.383;8.800;355.691;16,34%;0,37%;1;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;03/2010;3.524.707;3.358.659;3.197.858;3.112.734;326.849;-3.907;353.198;11,99%;0,88%;2;0
WESTLB;51554;b1;;I;3;SAO PAULO;SP;03/2010;3.414.925;1.048.253;2.904.953;1.246.817;509.973;17.305;509.973;26,76%;0,19%;1;0
