Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;09/2009;628.578.256;265.289.709;594.895.746;487.589.643;33.682.510;1.979.275;48.849.545;13,53%;16,24%;4.963;1.727
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2009;592.845.394;238.188.992;543.081.488;375.911.773;49.763.907;2.269.048;66.751.490;16,73%;31,68%;4.178;959
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2009;428.911.224;180.933.085;389.633.509;310.471.365;39.277.715;1.818.937;53.839.773;17,92%;44,34%;3.447;1.196
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2009;360.473.568;144.107.448;333.906.865;197.261.793;26.566.703;2.360.735;44.305.080;16,74%;0,51%;4;0
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2009;341.963.822;113.843.976;329.624.366;292.708.232;12.339.456;869.943;23.097.027;16,08%;13,82%;2.081;484
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2009;327.769.959;135.679.719;275.243.973;182.784.642;52.525.986;426.211;61.903.402;28,27%;49,07%;2.419;1.501
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2009;107.986.023;40.942.037;102.154.461;75.245.593;5.831.561;93.736;7.750.146;13,55%;33,25%;912;417
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2009;89.895.911;40.996.417;82.894.003;67.138.277;7.001.908;92.622;8.149.105;11,84%;1,53%;122;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2009;65.255.178;25.632.522;60.586.829;40.722.117;4.668.350;193.062;5.543.675;16,32%;26,58%;106;19
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2009;44.242.297;14.593.447;39.465.667;18.818.885;4.776.630;-38.495;5.407.797;15,06%;15,54%;140;11
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2009;28.755.719;12.528.539;25.455.162;19.505.235;3.300.557;146.066;3.240.831;18,03%;8,16%;431;245
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2009;24.134.852;3.813.378;21.250.359;13.004.232;2.884.493;-53.986;2.935.321;17,18%;17,95%;9;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2009;19.773.010;5.680.426;18.156.562;11.185.989;1.616.448;40.460;1.901.878;23,98%;1,88%;13;1
UBS PACTUAL;49944;b1;;C;3;RIO DE JANEIRO;RJ;09/2009;18.103.490;1.291.953;15.130.016;11.231.654;2.973.475;245.118;2.924.553;20,70%;10,64%;9;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2009;16.904.678;9.170.208;14.875.136;7.568.579;2.029.542;123.468;2.636.930;14,12%;7,48%;182;4
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2009;15.299.908;12.792.324;13.761.107;10.737.231;1.538.801;17.750;1.675.012;13,25%;8,09%;1;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2009;13.443.856;6.048.693;11.775.519;8.854.824;1.668.337;38.272;1.714.629;20,19%;10,32%;50;1
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2009;12.783.337;1.221.726;11.913.803;3.906.213;869.534;15.080;948.631;17,94%;9,19%;2;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;09/2009;12.510.989;4.147.556;11.751.013;10.607.729;759.976;18.319;815.602;13,97%;57,83%;15;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;09/2009;11.963.547;203.415;10.472.040;4.027.913;1.491.507;6.323;1.450.250;20,74%;3,26%;5;1
BBM;30207;b1;;C;2;SALVADOR;BA;09/2009;10.530.515;1.452.828;9.779.210;8.385.509;751.305;-2.525;741.133;14,42%;26,68%;11;0
BIC;32119;b1;;C;2;SAO PAULO;SP;09/2009;9.650.073;7.485.741;7.916.925;6.595.729;1.733.148;75.908;1.937.531;17,86%;2,65%;35;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;09/2009;9.526.048;5.867.800;7.966.452;4.897.765;1.559.595;47.711;1.783.445;17,46%;7,15%;5;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;09/2009;9.310.656;6.313.994;7.282.818;5.586.497;2.027.839;121.582;2.097.500;13,23%;2,58%;15;1
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2009;9.277.010;3.295.438;8.614.119;8.116.352;662.891;29.776;658.503;16,60%;20,23%;129;26
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2009;9.163.878;3.250.948;8.960.842;8.772.312;203.036;8.805;294.829;16,23%;22,36%;5;0
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;09/2009;8.645.955;4.305.256;7.580.840;2.802.735;1.065.115;39.361;1.061.275;13,36%;18,66%;1;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2009;8.300.172;3.289.417;7.107.746;5.190.272;1.192.426;-495;1.189.301;19,76%;46,38%;5;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2009;7.625.166;1.905.253;5.730.769;2.718.882;1.894.397;-36.605;1.868.087;21,30%;11,85%;104;7
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2009;7.526.978;3.988.529;6.951.138;5.710.969;575.840;7.423;782.415;13,82%;11,79%;153;3
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2009;7.467.346;4.863.411;6.285.169;5.533.654;1.182.176;38.114;1.198.619;15,43%;1,28%;7;0
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;09/2009;7.342.987;1.909.465;6.300.456;4.164.558;1.042.531;39.331;1.039.394;15,25%;8,59%;10;0
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2009;7.199.872;3.210.432;6.384.620;5.880.775;815.252;22.069;859.712;17,22%;2,81%;11;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2009;7.065.798;5.479.676;6.444.957;4.648.250;620.841;-4.268;733.341;11,69%;0,24%;2;0
