Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;06/2011;810.781.957;352.761.457;756.108.106;628.734.754;54.673.851;6.289.720;74.807.517;15,10%;21,32%;5.098;1.586
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2011;768.663.512;320.447.751;701.552.486;516.565.798;67.111.026;7.138.558;83.008.666;15,81%;48,65%;3.856;943
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2011;607.889.454;250.664.061;554.870.126;457.136.848;53.019.328;5.497.460;62.216.474;14,90%;47,13%;3.778;1.311
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2011;561.570.099;180.857.973;496.204.067;328.600.513;65.366.032;5.279.194;101.087.764;23,79%;0,29%;4;0
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2011;460.159.686;208.560.035;441.958.153;387.101.738;18.201.533;2.274.308;34.629.441;14,54%;14,90%;2.236;559
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;06/2011;412.042.101;175.739.651;346.845.207;255.138.638;65.196.894;1.856.188;71.745.865;27,18%;38,15%;2.545;1.461
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2011;144.554.014;54.685.364;136.284.379;103.446.546;8.269.635;611.990;10.422.393;12,88%;40,58%;870;400
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2011;122.231.569;61.212.782;113.525.964;91.938.388;8.705.606;540.586;12.592.040;13,85%;1,64%;129;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2011;83.895.902;42.329.677;77.969.271;60.588.554;5.926.631;584.933;7.755.107;14,87%;19,09%;105;8
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2011;54.878.963;19.260.460;47.817.083;23.911.747;7.061.880;1.234.120;6.985.498;17,96%;13,22%;137;9
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;06/2011;52.293.054;5.121.194;46.466.218;39.828.195;5.826.836;434.244;8.247.113;20,07%;8,04%;9;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2011;34.982.455;18.809.312;30.863.563;23.672.492;4.118.892;438.414;3.973.030;15,02%;7,46%;437;241
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2011;29.409.330;2.225.550;26.116.634;18.307.682;3.292.695;339.041;3.885.623;19,39%;8,75%;10;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;06/2011;26.204.565;7.153.929;23.920.832;9.023.213;2.283.733;72.024;2.459.151;18,90%;16,22%;15;1
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;06/2011;25.235.964;1.400.380;24.229.060;6.732.292;1.006.905;16.358;1.030.437;13,91%;2,73%;3;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2011;24.803.163;11.026.191;22.497.469;12.479.104;2.305.693;300.693;4.515.788;17,53%;4,31%;185;4
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;06/2011;21.736.632;18.944.159;19.728.325;14.876.563;2.008.307;130.820;2.995.110;15,13%;5,67%;1;0
BIC;32119;b1;;C;2;SAO PAULO;SP;06/2011;17.902.084;13.247.131;15.864.722;13.855.665;2.037.363;150.469;2.786.433;16,05%;3,00%;38;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2011;16.343.225;890.093;14.629.174;9.213.592;1.714.051;56.159;1.705.576;15,48%;3,90%;8;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;06/2011;14.154.114;5.508.956;13.726.706;13.479.336;427.408;24.243;535.920;18,68%;13,08%;5;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;06/2011;12.367.746;3.492.121;11.582.568;4.705.228;785.178;-317.428;705.337;11,12%;59,94%;5;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;06/2011;12.311.480;9.200.170;10.172.852;8.158.082;2.138.628;21.738;2.984.895;13,36%;2,31%;18;1
BANCOOB;51750;b1;;C;2;BRASILIA;DF;06/2011;12.239.225;3.838.814;11.907.629;11.253.122;331.597;18.068;367.490;13,17%;17,47%;8;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;06/2011;11.721.621;6.515.631;9.874.947;8.342.533;1.846.674;77.735;1.785.499;19,47%;11,26%;51;1
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;06/2011;11.675.137;5.008.585;10.161.167;4.955.827;1.513.970;36.615;1.690.422;12,44%;9,76%;5;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;06/2011;11.017.264;6.228.377;9.174.904;8.182.200;1.842.360;118.631;1.842.378;18,39%;9,35%;31;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;06/2011;10.880.991;7.934.811;9.985.257;8.926.009;895.734;12.059;1.098.753;12,39%;23,75%;35;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;06/2011;10.427.578;6.075.507;9.690.919;7.935.145;736.659;63.464;1.052.174;13,06%;20,74%;162;3
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;06/2011;10.266.375;7.468.705;8.842.131;7.705.466;1.424.244;116.905;1.886.408;15,33%;3,82%;7;0
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;06/2011;10.178.408;1.893.935;9.003.260;6.377.124;1.175.148;81.546;1.670.764;18,29%;6,99%;11;0
