Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;12/2009;652.280.069;279.960.275;616.160.688;511.130.351;36.119.381;6.133.961;54.529.352;14,22%;15,65%;4.990;1.691
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2009;585.603.098;246.752.720;534.013.238;383.296.925;51.589.860;5.480.997;68.432.521;16,99%;32,89%;4.633;983
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2009;444.396.778;190.970.749;402.479.182;325.706.787;41.917.596;4.042.608;55.463.721;17,75%;45,68%;3.484;1.194
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2009;379.279.940;158.104.959;351.651.895;204.589.938;27.628.046;6.033.053;54.066.214;18,02%;0,43%;4;0
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2009;341.831.823;126.576.443;328.688.055;289.300.846;13.143.767;1.842.183;26.245.187;17,49%;16,64%;2.086;486
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2009;334.069.363;141.459.616;269.132.658;179.834.984;64.936.705;826.641;74.973.507;33,41%;40,04%;2.418;1.498
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2009;100.104.481;41.529.980;92.897.103;72.725.049;7.207.378;422.935;8.965.055;15,65%;31,46%;896;413
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2009;86.940.569;42.444.284;79.795.102;62.818.137;7.145.467;401.279;9.151.629;12,95%;1,35%;122;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2009;71.059.510;27.890.112;66.152.965;47.590.478;4.906.545;458.540;5.815.453;16,05%;25,18%;102;18
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2009;40.846.974;15.018.157;35.781.818;17.281.351;5.065.157;284.010;5.690.732;15,70%;15,60%;140;10
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2009;29.275.017;13.414.211;25.865.732;20.046.616;3.409.285;330.399;3.349.412;17,45%;8,35%;433;241
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2009;21.945.135;1.529.936;18.700.635;15.030.262;3.244.500;516.143;3.160.793;20,56%;2,76%;9;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;12/2009;21.262.372;3.712.187;18.309.892;13.748.211;2.952.480;42.581;2.963.328;19,69%;16,52%;9;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;12/2009;20.722.750;1.435.088;19.809.293;4.173.187;913.458;59.004;963.278;17,40%;9,15%;2;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2009;19.154.466;9.937.651;17.081.741;9.635.002;2.072.725;325.198;2.692.406;12,99%;7,22%;183;4
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;12/2009;16.648.164;14.076.478;15.065.068;10.702.831;1.583.096;62.045;1.894.413;12,97%;7,44%;1;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;12/2009;16.070.318;5.852.876;14.568.029;8.329.563;1.502.289;136.539;1.770.031;21,20%;2,26%;14;1
ALFA;51293;b1;;C;2;SAO PAULO;SP;12/2009;13.650.199;6.187.596;11.979.188;9.417.422;1.671.011;59.241;1.727.443;20,20%;10,36%;49;1
FIBRA;49951;b1;;C;2;SAO PAULO;SP;12/2009;11.825.245;4.811.957;11.041.567;9.942.391;783.678;44.235;1.098.457;17,72%;41,85%;15;0
BIC;32119;b1;;C;2;SAO PAULO;SP;12/2009;11.254.187;8.929.156;9.479.474;8.284.530;1.774.713;162.971;1.960.988;16,14%;2,73%;35;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;12/2009;10.802.993;6.608.137;9.221.571;6.105.150;1.581.423;103.167;1.808.833;16,97%;7,30%;5;0
BBM;30207;b1;;C;2;SALVADOR;BA;12/2009;10.595.552;1.224.242;9.937.644;9.189.315;657.908;8.288;647.736;14,52%;16,27%;9;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;12/2009;10.353.823;6.548.542;8.183.189;6.308.369;2.170.634;346.624;2.248.057;11,71%;2,35%;16;1
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;12/2009;9.095.631;3.705.491;8.914.745;8.725.573;180.886;12.151;274.596;13,40%;23,87%;5;0
BANESTES;30159;b1;;C;1;VITORIA;ES;12/2009;8.954.048;3.417.348;8.288.918;7.848.133;665.130;56.745;661.405;16,46%;21,42%;130;27
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;12/2009;7.840.763;4.163.503;7.257.288;6.096.763;583.476;23.324;790.272;13,24%;12,60%;153;3
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;12/2009;7.805.744;1.876.532;5.908.425;2.829.263;1.897.319;-17.641;1.871.629;22,27%;11,68%;104;7
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;12/2009;7.764.261;3.741.102;6.694.093;1.857.175;1.070.168;70.729;1.064.323;14,08%;19,44%;1;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;12/2009;7.568.628;244.253;6.028.035;2.887.308;1.540.593;55.409;1.507.251;24,08%;3,15%;5;1
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;12/2009;7.377.433;5.644.726;6.158.991;5.843.158;1.218.441;91.817;1.228.327;14,64%;1,24%;7;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;12/2009;7.354.498;5.813.448;6.611.367;4.886.672;743.132;23.023;859.927;13,02%;0,21%;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;12/2009;7.320.681;5.697.365;6.245.717;5.946.714;1.074.964;59.563;1.104.616;19,16%;1,74%;3;0
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;12/2009;7.079.612;1.889.653;6.011.418;4.646.718;1.068.194;80.475;1.065.835;16,07%;8,71%;10;0
