Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;03/2008;392.585.734;172.709.135;367.178.893;311.666.433;25.406.842;2.347.466;32.652.427;13,69%;17,02%;4.099;1.261
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2008;322.540.198;125.195.253;291.189.024;191.856.583;31.351.174;2.065.063;37.791.847;17,33%;27,16%;2.695;734
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2008;301.178.246;138.951.132;268.002.971;211.425.782;33.175.275;2.100.938;44.033.391;15,55%;47,70%;3.208;1.183
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2008;254.417.907;59.991.463;243.130.200;214.087.091;11.287.708;872.717;19.397.270;29,96%;12,56%;2.056;456
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2008;210.485.183;81.151.898;185.694.237;64.909.909;24.790.946;148.701;41.719.325;27,16%;35,81%;4;0
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;03/2008;162.000.916;68.698.063;149.232.443;93.037.436;12.768.473;568.525;14.473.628;13,30%;13,87%;1.269;871
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;03/2008;153.503.545;65.327.755;141.154.229;102.515.485;12.349.317;745.347;17.682.233;14,36%;36,32%;974;271
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;03/2008;120.650.689;45.953.345;111.236.905;70.982.880;9.413.784;389.702;12.827.847;13,28%;11,68%;1.089;656
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2008;83.309.857;35.355.812;77.904.007;56.116.636;5.405.850;330.515;6.760.902;13,30%;26,17%;938;463
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2008;70.550.167;30.606.067;64.318.297;52.361.744;6.231.870;188.180;8.039.530;15,60%;0,99%;112;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2008;53.486.208;26.560.406;49.414.820;34.265.877;4.071.388;198.604;4.736.359;13,70%;15,48%;127;13
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;03/2008;51.447.676;9.699.910;48.580.392;44.031.166;2.867.284;114.851;2.719.595;14,97%;15,38%;560;385
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2008;40.492.566;12.225.502;36.559.294;15.166.135;3.933.272;954.965;4.277.807;11,86%;17,63%;135;11
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;03/2008;35.843.650;5.396.419;34.698.119;9.589.178;1.145.531;28.720;1.146.453;14,34%;2,62%;6;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;03/2008;35.604.860;866.697;34.905.203;3.523.367;699.657;6.914;806.109;16,51%;10,51%;2;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;03/2008;21.778.549;8.860.682;18.956.193;15.798.239;2.822.356;120.935;2.711.054;24,23%;8,25%;419;171
UBS PACTUAL;49944;b1;;C;3;RIO DE JANEIRO;RJ;03/2008;18.632.884;1.295.793;14.784.507;7.540.548;3.848.377;19.171;3.808.521;24,07%;7,59%;9;0
