Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;09/2008;444.702.058;202.119.435;416.813.208;340.836.416;27.888.850;1.866.957;35.990.703;13,57%;17,08%;4.349;1.393
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2008;400.957.932;150.624.678;367.174.903;261.687.697;33.783.029;1.897.445;41.284.592;14,69%;47,07%;2.746;726
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2008;365.295.511;160.542.937;330.535.928;267.450.988;34.759.583;1.924.787;45.259.892;16,21%;47,38%;3.280;1.194
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2008;331.826.491;130.481.727;281.492.691;188.302.544;50.333.799;506.159;53.476.815;21,68%;56,93%;2.376;1.521
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2008;276.059.258;70.708.619;263.854.097;229.618.206;12.205.161;722.547;17.189.863;19,09%;15,13%;2.062;466
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2008;236.635.368;91.348.228;210.405.064;85.063.583;26.230.304;988.040;44.082.007;22,46%;20,86%;4;0
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;09/2008;176.810.182;73.261.403;163.772.234;121.022.796;13.037.948;694.986;18.781.376;12,97%;41,12%;1.003;261
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2008;114.338.267;41.474.861;108.338.224;73.031.397;6.000.043;211.638;7.447.867;12,12%;28,03%;929;443
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2008;82.291.222;38.221.920;75.836.907;61.073.781;6.454.315;172.333;7.990.809;13,58%;0,98%;115;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2008;68.199.878;31.888.772;63.502.005;43.106.745;4.697.873;689.120;5.352.991;12,11%;23,10%;128;18
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;09/2008;53.438.965;11.489.445;50.255.516;45.334.036;3.183.450;69.830;3.020.736;15,56%;13,33%;560;384
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2008;40.301.597;5.089.137;39.090.208;8.559.053;1.211.389;57.246;1.209.935;12,24%;3,23%;6;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2008;39.893.547;13.008.741;35.645.302;14.911.641;4.248.245;72.555;4.571.548;16,82%;15,82%;136;11
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2008;25.662.617;10.917.732;22.690.494;18.588.117;2.972.122;110.772;2.850.664;17,68%;9,00%;421;169
UBS PACTUAL;49944;b1;;C;3;RIO DE JANEIRO;RJ;09/2008;21.592.867;1.994.114;17.088.003;6.173.246;4.504.864;107.541;4.461.862;22,85%;6,19%;10;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2008;17.817.667;3.348.606;15.133.138;8.629.109;2.684.529;161.689;2.723.072;15,58%;22,94%;9;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;09/2008;17.560.851;4.815.169;16.778.077;16.085.048;782.774;30.108;925.453;14,46%;22,83%;15;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;09/2008;16.432.201;330.440;14.916.569;8.814.377;1.515.632;38.547;1.508.571;14,37%;3,99%;5;1
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2008;15.707.332;7.801.392;14.171.066;11.127.396;1.536.267;40.909;1.494.316;14,34%;8,73%;50;1
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2008;15.596.380;5.879.739;13.757.201;6.183.222;1.839.179;132.392;1.838.888;15,47%;10,10%;181;4
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2008;13.749.419;798.871;12.992.858;5.014.300;756.561;112.369;872.090;14,20%;9,83%;2;0
BIC;32119;b1;;C;2;SAO PAULO;SP;09/2008;13.004.147;9.495.879;11.281.334;9.725.621;1.722.812;103.441;1.907.113;16,20%;2,36%;35;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2008;12.141.762;10.213.191;10.981.167;8.895.063;1.160.595;17.865;1.223.747;11,71%;9,47%;1;0
BBM;30207;b1;;C;2;SALVADOR;BA;09/2008;11.933.945;3.802.684;11.045.629;7.474.104;888.316;28.893;871.275;15,30%;8,32%;12;0
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2008;9.197.077;2.311.452;8.666.008;8.217.834;531.068;36.334;519.940;16,23%;20,94%;127;28
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;09/2008;8.733.804;5.404.164;7.773.156;4.595.238;960.648;17.613;958.321;40,57%;0,83%;1;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;09/2008;7.989.206;5.509.927;5.991.626;4.770.249;1.997.580;12.149;1.969.772;14,54%;4,38%;14;1
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;09/2008;7.888.871;4.352.057;6.276.765;5.853.700;1.612.106;47.135;1.611.997;25,58%;3,87%;23;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2008;7.879.285;3.189.335;7.716.446;7.556.285;162.839;5.672;245.373;13,80%;26,27%;5;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2008;7.684.732;5.329.243;6.525.972;5.460.992;1.158.760;48.409;1.161.186;16,12%;0,91%;7;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2008;7.312.663;4.413.308;6.752.124;5.667.620;560.540;1.164;768.944;12,05%;28,93%;155;3
SS;31323;b1;;C;2;SAO PAULO;SP;09/2008;7.026.877;4.691.823;5.551.089;3.644.767;1.475.787;66.727;1.714.073;21,49%;6,01%;5;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2008;6.856.900;1.746.229;5.008.986;2.443.040;1.847.914;44.853;1.819.480;25,99%;12,94%;103;8
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;09/2008;6.760.348;2.441.730;6.293.306;5.381.685;467.041;23.224;700.725;14,80%;1,06%;13;0
BANCO BARCLAYS S.A.;61146577;b1;;I;3;SAO PAULO;SP;09/2008;6.680.180;85.546;6.253.764;1.477.213;426.416;23.388;426.407;21,18%;3,41%;1;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;09/2008;6.472.398;3.446.459;5.611.290;4.093.812;861.108;21.196;859.698;17,00%;46,85%;16;0
ING;51073;b1;;C;3;SAO PAULO;SP;09/2008;5.838.192;969.168;5.124.912;1.799.884;713.281;-8.404;713.253;42,64%;0,72%;2;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2008;5.749.742;3.051.485;4.406.336;3.722.405;1.343.407;-66.907;1.341.290;26,90%;49,34%;5;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2008;5.688.914;4.388.828;5.176.766;3.708.045;512.149;7.332;598.162;11,64%;0,35%;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;09/2008;5.623.163;4.329.886;4.634.095;4.397.316;989.068;18.246;985.922;22,34%;1,99%;3;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;09/2008;5.382.975;1.494.307;5.264.232;4.747.386;118.743;-26.773;217.938;15,97%;40,02%;8;1
BRB;31976;b1;;C;1;BRASILIA;DF;09/2008;5.228.158;2.328.998;4.808.261;4.282.317;419.896;29.216;411.721;14,28%;18,80%;62;44
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;09/2008;5.214.765;786.886;4.062.093;3.384.170;1.152.671;26.228;1.145.109;23,34%;6,36%;10;0
BANCO IBI S.A. - BANCO MÚLTIPLO;4184779;b1;;I;3;BARUERI;SP;09/2008;5.134.034;4.890.183;4.257.099;2.231.413;876.934;26.531;828.135;18,93%;31,98%;1;0
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2008;4.740.940;3.541.035;3.910.149;3.314.550;830.792;33.429;847.879;15,16%;1,87%;14;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;09/2008;4.461.686;3.897.280;3.745.966;3.349.661;715.720;11.966;713.520;17,60%;0,88%;1;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;09/2008;4.075.410;600;157.729;540;3.917.681;1.559;3.917.681;55,62%;0,00%;1;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;09/2008;3.584.109;0;2.687.136;637.379;896.972;28.324;884.750;55,14%;2,29%;2;0
MERRILL LYNCH;51255;b2;;C;3;SAO PAULO;SP;09/2008;3.578.922;0;2.685.711;542.642;893.211;-13.049;975.662;36,07%;2,67%;2;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;09/2008;3.192.464;1.995.408;2.748.725;2.567.538;443.739;19.281;443.739;19,91%;3,39%;14;0
WESTLB;51554;b1;;I;3;SAO PAULO;SP;09/2008;3.075.915;1.088.953;2.614.759;1.216.385;461.156;7.837;458.641;21,70%;1,07%;1;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;09/2008;2.951.554;2.756.645;2.628.098;2.544.210;323.456;-13.659;352.872;14,34%;1,10%;2;0
BES;51482;b2;;C;3;SAO PAULO;SP;09/2008;2.925.001;245.855;2.668.538;2.224.808;256.463;27.016;348.190;62,63%;7,20%;3;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL - CENTRAL SICREDI RS;87437687;b3C;;I;2;PORTO ALEGRE;RS;09/2008;2.907.645;65.892;2.759.065;0;148.580;2;75.922;19,26%;8,07%;0;0
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;09/2008;2.867.030;2.386.492;2.479.294;1.895.503;387.736;14.819;369.299;15,44%;0,29%;4;0
BANCO FIDIS DE INVESTIMENTO S.A.;62237425;b2;;I;3;BETIM;MG;09/2008;2.734.759;2.191.716;2.373.744;2.005.774;361.015;7.611;361.015;20,28%;0,27%;1;0
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;09/2008;2.616.893;1.904.631;2.440.053;1.713.128;176.839;4.161;244.521;13,91%;1,27%;2;0
