Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;06/2009;583.325.840;252.485.480;550.183.191;444.755.039;33.142.649;4.014.201;50.839.770;15,71%;13,54%;4.958;1.757
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2009;576.565.193;234.936.681;528.320.428;372.279.161;48.244.766;4.586.150;65.696.455;16,89%;31,80%;3.811;951
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2009;425.956.252;179.332.102;388.250.321;309.001.871;37.705.930;4.039.657;50.511.772;17,75%;45,60%;3.434;1.194
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;06/2009;332.617.159;136.693.653;282.723.764;188.076.215;49.893.396;1.040.967;58.684.941;25,85%;50,42%;2.424;1.499
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2009;323.656.801;101.015.135;310.154.453;273.404.882;13.502.348;1.157.522;22.905.625;18,80%;13,42%;2.077;477
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2009;303.875.762;116.361.387;279.175.731;144.427.561;24.700.031;702.116;41.336.728;18,98%;24,87%;4;0
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2009;106.145.278;40.541.835;100.471.977;70.574.606;5.673.302;250.817;7.641.687;13,81%;28,57%;910;437
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2009;90.204.436;38.087.036;83.705.444;71.355.638;6.498.992;401.533;7.637.579;12,42%;1,00%;122;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2009;66.498.384;24.122.438;61.919.122;41.981.408;4.579.263;452.732;5.434.922;16,69%;26,75%;107;18
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2009;41.917.966;14.459.317;37.061.657;15.448.846;4.856.309;1.669.347;5.469.866;16,78%;15,86%;141;11
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2009;27.917.302;12.068.644;24.718.277;19.269.948;3.199.025;210.798;3.140.556;18,43%;7,88%;429;190
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;06/2009;22.709.352;5.807.582;21.123.307;12.903.397;1.586.046;96.895;1.878.368;19,97%;1,77%;13;1
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2009;19.010.771;3.198.394;16.072.809;10.278.804;2.937.962;-108.375;2.946.697;19,98%;18,41%;9;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2009;16.003.129;8.057.941;14.093.935;7.096.369;1.909.193;133.815;1.906.270;11,66%;10,42%;182;4
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2009;15.435.691;105.020;13.950.507;3.445.022;1.485.184;30.685;1.469.227;17,59%;3,26%;5;1
ALFA;51293;b1;;C;2;SAO PAULO;SP;06/2009;14.128.570;6.473.274;12.498.003;9.347.123;1.630.567;98.999;1.680.108;19,00%;10,30%;49;1
