Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;09/2011;850.403.936;370.415.196;793.636.483;656.782.711;56.767.452;2.917.937;78.699.820;14,52%;25,75%;5.133;1.573
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2011;810.464.986;338.911.710;741.105.750;542.955.570;69.359.236;3.820.013;88.138.085;15,10%;49,78%;3.876;942
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2011;636.399.735;260.308.329;582.476.015;483.410.496;53.923.720;2.820.175;68.486.026;14,96%;44,11%;4.029;1.320
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2011;567.894.785;196.921.891;511.521.204;341.110.832;56.373.581;2.587.126;94.136.728;21,61%;0,31%;4;0
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2011;507.306.734;229.868.194;489.278.773;429.295.608;18.027.962;1.291.175;37.795.810;13,45%;14,47%;2.266;573
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2011;422.407.010;188.379.410;356.407.202;259.119.100;65.999.809;880.656;71.716.508;24,15%;37,89%;2.566;1.425
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2011;152.091.537;56.253.877;143.551.363;105.274.855;8.540.174;294.972;11.607.759;13,42%;40,80%;870;399
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2011;127.354.340;63.978.128;118.636.185;96.032.080;8.718.154;-85.313;13.057.070;12,72%;1,62%;123;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2011;89.106.267;46.321.808;83.520.374;66.949.228;5.585.893;303.689;7.607.531;12,70%;26,73%;105;8
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2011;62.329.592;21.317.771;54.855.057;29.664.732;7.474.535;354.698;7.402.104;17,49%;12,56%;137;9
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;09/2011;59.516.071;6.233.374;53.862.863;43.954.270;5.653.209;173.372;7.997.751;19,99%;28,68%;9;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2011;36.785.420;19.654.679;32.486.507;24.814.372;4.298.913;239.270;4.149.205;15,51%;7,26%;438;240
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2011;33.511.938;1.967.843;32.411.668;7.892.737;1.100.270;93.365;1.128.497;13,43%;2,18%;3;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2011;28.214.734;2.511.012;24.795.331;18.636.846;3.419.404;124.268;4.165.411;22,42%;7,87%;10;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;09/2011;27.144.783;952.910;24.299.802;16.570.163;2.844.981;194.937;2.837.928;18,06%;2,57%;8;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2011;25.641.894;11.653.201;23.231.117;13.294.863;2.410.776;119.103;4.698.607;17,35%;4,09%;186;5
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2011;23.087.489;19.896.681;21.039.151;16.265.293;2.048.338;48.006;3.035.539;13,97%;5,94%;1;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2011;21.211.152;7.274.168;18.807.214;9.058.043;2.403.939;128.703;2.613.320;16,35%;16,22%;15;1
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;09/2011;18.114.624;11.184.831;14.583.115;11.439.785;3.531.509;392.622;4.629.841;12,62%;3,30%;24;1
