Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;12/2006;296.356.419;133.141.210;275.598.261;226.768.802;20.758.158;2.155.588;30.755.643;17,25%;14,84%;4.052;1.235
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2006;213.302.930;95.959.411;188.546.148;155.115.581;24.756.782;1.876.597;35.108.657;18,76%;48,01%;3.038;1.054
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2006;209.532.835;47.263.617;200.350.366;178.873.903;9.182.469;1.042.212;12.193.963;25,29%;19,75%;1.983;461
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2006;205.156.179;83.360.629;176.947.580;120.424.598;28.208.599;3.361.271;30.664.744;18,30%;42,18%;2.622;752
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2006;185.145.568;71.708.052;166.053.638;56.159.420;19.091.930;3.013.841;33.866.402;24,71%;52,41%;4;0
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;12/2006;119.160.302;49.651.403;108.572.371;75.423.344;10.587.931;1.172.241;10.588.462;13,76%;19,87%;1.105;856
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;12/2006;102.125.938;37.506.473;94.150.326;68.795.976;7.975.612;752.502;11.624.593;15,37%;16,50%;1.063;694
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;12/2006;97.785.134;45.001.060;87.766.134;68.905.045;10.019.000;714.295;13.080.293;15,99%;44,85%;962;259
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2006;61.820.338;26.170.609;57.714.268;44.306.701;4.106.070;494.809;4.556.422;12,44%;14,33%;108;14
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2006;58.265.728;25.183.966;54.153.814;45.144.426;4.111.914;500.547;4.967.320;14,23%;34,83%;937;463
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2006;56.707.483;16.821.103;51.560.937;45.059.630;5.146.546;664.294;5.146.546;16,08%;1,63%;95;0
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;12/2006;39.319.392;7.166.642;36.720.441;33.377.811;2.598.951;163.573;2.586.814;23,39%;19,88%;538;359
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2006;30.755.195;10.872.900;27.566.442;10.589.752;3.188.754;204.034;3.630.050;12,87%;18,33%;121;9
UBS PACTUAL;49944;b1;;C;3;RIO DE JANEIRO;RJ;12/2006;20.260.656;819.483;18.807.096;14.527.394;1.453.560;333.111;1.445.116;16,74%;8,76%;11;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2006;15.697.307;6.284.628;14.402.930;12.882.422;1.294.376;172.796;1.294.376;20,16%;24,04%;414;183
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2006;12.477.424;4.091.522;10.975.076;5.165.967;1.502.348;126.303;1.502.174;18,98%;12,23%;180;4
BBM;30207;b1;;C;2;SALVADOR;BA;12/2006;12.401.765;2.289.139;11.736.705;8.997.727;665.060;109.678;665.060;16,09%;9,10%;12;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;12/2006;11.075.730;5.200.072;9.845.305;8.358.090;1.230.425;85.742;1.229.031;16,99%;12,69%;39;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;12/2006;10.811.532;1.796.270;9.605.360;7.600.343;1.206.172;120.721;1.204.037;28,21%;3,52%;6;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;12/2006;10.673.186;4.514.158;9.757.053;6.169.036;916.133;40.048;931.632;19,34%;4,88%;6;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;12/2006;9.007.310;268.237;8.483.661;2.864.621;523.649;117.815;683.999;20,02%;8,88%;2;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;12/2006;8.345.297;2.798.024;7.904.647;7.616.284;440.650;43.991;506.367;13,56%;12,75%;2;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;12/2006;8.282.640;191.136;6.793.491;5.057.812;1.489.150;31.543;1.489.150;31,57%;3,36%;5;1
BIC;32119;b1;;C;2;SAO PAULO;SP;12/2006;7.325.085;4.433.700;6.789.929;5.972.891;535.155;51.597;800.213;15,16%;4,14%;35;0
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;12/2006;6.382.336;6.086.992;5.580.382;4.980.368;801.955;53.584;801.955;11,70%;8,01%;9;0
BANESTES;30159;b1;;C;1;VITORIA;ES;12/2006;5.637.362;1.496.480;5.237.856;4.816.162;399.506;81.090;399.506;18,66%;28,35%;124;32
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;12/2006;5.158.922;1.288.167;3.459.832;1.621.614;1.699.090;129.475;1.699.090;33,82%;16,73%;101;9
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;12/2006;5.058.303;2.779.694;4.541.336;4.164.874;516.967;7.299;506.695;11,70%;37,22%;200;3
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;12/2006;4.624.199;2.911.566;3.620.307;2.665.615;1.003.892;138.769;1.003.892;13,32%;6,66%;14;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;12/2006;4.517.633;1.416.157;4.417.647;4.321.834;99.986;8.216;167.863;20,15%;31,94%;5;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;12/2006;4.261.478;3.225.311;3.426.616;3.203.977;834.863;60.758;834.863;23,48%;2,46%;3;0
BESC;30245;b1;;C;1;FLORIANOPOLIS;SC;12/2006;4.246.753;626.197;3.910.673;3.483.093;336.080;20.807;336.080;39,07%;10,25%;260;178
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;12/2006;4.106.455;3.062.804;3.390.682;2.503.531;715.773;92.624;715.773;16,02%;17,47%;1;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;12/2006;4.024.329;3.497.458;3.415.120;3.241.515;609.209;43.100;609.209;15,54%;3,47%;1;0
BANCO IBI S.A. - BANCO MÚLTIPLO;4184779;b1;;I;3;BARUERI;SP;12/2006;3.816.176;3.509.004;3.355.534;1.555.866;460.641;68.220;460.641;13,06%;23,11%;1;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;12/2006;3.777.299;2.335.063;3.338.483;2.543.855;438.817;36.124;438.817;13,86%;2,31%;4;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;12/2006;3.775.465;1.460.793;3.465.470;3.261.230;309.995;-1.947;316.628;13,64%;1,89%;1;0
SS;31323;b1;;C;2;SAO PAULO;SP;12/2006;3.754.127;2.202.733;3.275.775;1.967.376;478.352;58.442;714.988;15,89%;18,15%;5;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;12/2006;3.586.143;1.063.642;3.491.473;3.301.728;94.670;8.605;176.625;12,72%;30,38%;3;0
DAIMLERCHRYSLER;51262;b2;;C;3;SAO PAULO;SP;12/2006;3.263.755;2.885.427;2.825.583;2.243.365;438.171;23.493;564.524;16,82%;0,75%;2;0
PINE;50304;b1;;C;2;SAO PAULO;SP;12/2006;3.205.491;1.341.394;2.870.292;2.767.469;335.199;35.608;335.199;19,16%;5,53%;13;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;12/2006;3.035.739;1.582.933;2.597.972;2.389.692;437.767;59.073;437.767;20,42%;14,90%;14;0
ING;51073;b1;;C;3;SAO PAULO;SP;12/2006;2.939.051;211.560;2.490.148;2.018.743;448.903;404;448.903;48,44%;1,34%;2;0
BRB;31976;b1;;C;1;BRASILIA;DF;12/2006;2.783.207;1.498.529;2.479.474;2.128.566;303.733;58.661;261.256;14,62%;31,39%;60;42
BMC;30276;b1;;C;2;SAO PAULO;SP;12/2006;2.391.458;1.070.990;2.106.873;1.866.605;284.584;27.616;284.584;14,70%;6,92%;16;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;12/2006;2.314.032;770;163.791;361;2.150.241;72.668;2.150.241;122,81%;0,01%;1;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;12/2006;2.310.546;1.957.389;2.011.680;1.907.115;298.867;21.934;332.822;13,67%;1,34%;1;0
BANCO BARCLAYS S.A.;61146577;b1;;I;3;SAO PAULO;SP;12/2006;2.139.151;142.795;1.854.942;1.339.357;284.209;57.104;282.769;55,83%;4,81%;1;0
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;12/2006;2.117.546;230.027;1.855.485;1.583.450;262.061;28.943;260.565;15,68%;28,73%;7;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;12/2006;2.098.479;914.738;1.775.995;1.450.115;322.484;28.011;322.484;22,92%;18,35%;9;0
BANCO BGN S.A.;558456;b1;;I;2;RECIFE;PE;12/2006;2.075.383;825.932;1.951.255;1.843.312;124.128;15.757;124.128;12,13%;9,99%;4;0
BES;51482;b2;;C;3;SAO PAULO;SP;12/2006;1.880.315;0;1.768.167;1.531.559;112.148;14.639;112.148;14,65%;10,56%;4;0
BANCO WESTLB DO BRASIL S.A.;61088183;b1;;I;3;SAO PAULO;SP;12/2006;1.815.860;779.525;1.573.039;1.360.222;242.822;60.866;242.822;16,66%;12,10%;1;0
OPPORTUNITY;51107;b1;;C;2;RIO DE JANEIRO;RJ;12/2006;1.811.099;0;1.664.459;1.391.088;146.641;20.062;146.641;44,26%;42,79%;3;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL - CENTRAL SICREDI RS;87437687;b3C;;I;2;PORTO ALEGRE;RS;12/2006;1.796.454;25.318;1.733.468;10;62.986;1.366;62.986;18,28%;31,75%;0;0
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;12/2006;1.700.056;946.286;1.477.676;1.144.095;222.381;-79.639;222.381;12,59%;53,29%;12;3
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;12/2006;1.693.947;566.680;142.548;91.313;1.551.400;16.649;1.551.400;222,32%;0,67%;1;0
BANCO JOHN DEERE S.A.;91884981;b1;;I;3;PORTO ALEGRE;RS;12/2006;1.662.583;1.596.201;1.454.407;1.428.928;208.175;4.834;208.175;12,57%;0,87%;1;0
BANCO FIDIS DE INVESTIMENTO S.A.;62237425;b2;;I;3;BETIM;MG;12/2006;1.646.178;1.174.987;1.288.079;1.084.632;358.099;34.379;358.099;26,76%;0,12%;1;0
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;12/2006;1.642.550;585.563;1.465.455;1.422.119;177.095;16.666;177.095;18,76%;25,57%;6;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;12/2006;1.623.478;749.029;863.568;555.223;759.910;10.838;759.910;48,80%;3,35%;1;0
MERRILL LYNCH;51255;b2;;C;3;SAO PAULO;SP;12/2006;1.571.771;0;1.174.242;530.203;397.529;36.300;484.911;26,05%;4,15%;2;0
DRESDNER;51059;b1;;C;3;SAO PAULO;SP;12/2006;1.566.521;61.031;1.301.336;1.038.684;265.185;36.225;265.185;16,39%;3,00%;2;0
SCHAHIN;50191;b1;;C;2;SAO PAULO;SP;12/2006;1.542.764;608.075;1.340.883;1.123.382;201.880;14.140;201.880;15,67%;16,19%;3;0
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;12/2006;1.455.205;1.249.271;1.307.316;1.115.549;147.889;10.210;147.889;14,03%;0,00%;2;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;12/2006;1.443.796;335.437;1.337.933;1.297.750;105.864;34.421;105.864;14,95%;42,87%;61;22
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;12/2006;1.381.952;0;869.165;237.573;512.787;16.284;512.787;29,83%;0,03%;2;0
BANCO CACIQUE S.A.;33349358;b1;;I;2;SAO PAULO;SP;12/2006;1.338.749;879.597;1.006.144;904.618;332.605;29.760;332.605;20,51%;7,78%;1;0
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;12/2006;1.323.053;1.268.513;1.167.173;1.011.823;155.881;7.408;155.881;12,17%;1,14%;4;0
BANIF;20255;b1;;C;3;SAO PAULO;SP;12/2006;1.276.199;529.999;1.172.114;967.865;104.085;8.075;119.648;13,50%;26,13%;10;0
