Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2008;631.326.674;242.117.034;586.530.974;409.859.305;44.795.700;3.683.646;66.766.103;16,13%;39,60%;3.828;1.012
BB;49906;b1;;C;1;BRASILIA;DF;12/2008;507.348.206;224.518.440;477.410.652;393.808.524;29.937.553;4.811.294;44.110.455;15,55%;14,59%;4.360;1.386
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2008;397.343.348;173.268.134;362.676.767;289.819.788;34.666.580;3.533.530;47.733.605;16,93%;48,03%;3.392;1.190
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2008;344.681.912;138.919.810;295.443.694;192.633.911;49.238.218;781.597;54.047.300;22,88%;55,68%;2.405;1.526
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2008;295.920.330;81.837.319;283.215.660;247.384.937;12.704.670;1.340.274;21.797.226;20,63%;11,99%;2.070;470
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2008;272.092.458;107.758.832;246.825.838;114.359.514;25.266.620;1.182.506;42.560.445;19,14%;19,45%;4;0
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2008;112.100.299;42.410.860;106.054.219;74.879.660;6.046.080;585.256;7.401.211;12,31%;27,81%;933;442
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2008;73.036.668;38.183.933;66.633.865;52.544.165;6.402.803;300.852;7.841.042;13,48%;0,94%;117;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2008;66.482.014;25.272.951;62.355.726;41.912.112;4.126.288;398.187;5.085.580;14,68%;24,59%;128;21
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;12/2008;54.280.616;12.895.637;51.099.934;46.028.058;3.180.682;120.788;3.109.359;16,78%;11,96%;562;384
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2008;40.481.542;14.696.024;36.073.840;13.954.005;4.407.702;133.031;4.900.972;16,18%;14,69%;136;11
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;12/2008;27.984.835;5.075.897;26.693.802;7.837.521;1.291.033;192.866;1.632.890;18,24%;2,73%;6;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2008;25.375.889;11.453.582;22.294.228;18.029.999;3.081.660;282.694;3.027.258;20,09%;8,38%;426;168
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;12/2008;23.327.433;4.083.658;20.820.464;13.631.981;2.506.969;173.118;2.484.851;13,14%;23,72%;9;0
UBS PACTUAL;49944;b1;;C;3;RIO DE JANEIRO;RJ;12/2008;19.388.542;1.709.431;15.523.327;6.090.667;3.865.215;270.933;3.539.207;24,35%;7,44%;10;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;12/2008;17.173.151;1.114.416;16.089.812;5.384.910;1.083.339;448.716;1.193.294;16,64%;7,39%;2;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2008;16.177.235;6.739.448;14.379.717;6.958.271;1.797.518;215.938;1.797.227;13,08%;10,27%;181;4
ALFA;51293;b1;;C;2;SAO PAULO;SP;12/2008;15.564.368;7.266.035;14.007.001;10.080.452;1.557.367;89.989;1.512.332;15,11%;11,71%;52;1
BBM;30207;b1;;C;2;SALVADOR;BA;12/2008;14.177.926;2.891.194;13.440.637;6.617.025;737.289;22.712;727.117;13,22%;19,55%;11;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;12/2008;12.491.808;10.618.083;11.330.503;9.156.084;1.161.305;18.574;1.317.659;12,86%;8,74%;1;0
BIC;32119;b1;;C;2;SAO PAULO;SP;12/2008;11.841.031;7.796.951;10.144.076;8.384.120;1.696.955;124.881;1.991.442;19,19%;2,24%;35;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;12/2008;9.205.320;3.853.097;8.447.502;7.684.519;757.817;42.412;910.000;14,17%;18,90%;15;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;12/2008;8.870.702;129.308;7.266.203;4.077.897;1.604.499;127.414;1.579.865;23,81%;2,89%;5;1
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;12/2008;8.820.179;5.062.387;7.854.596;3.206.871;965.583;41.086;963.822;12,41%;0,79%;1;0
BANESTES;30159;b1;;C;1;VITORIA;ES;12/2008;8.534.138;2.774.403;7.966.754;7.540.171;567.384;86.699;554.736;16,47%;20,17%;127;27
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;12/2008;7.683.719;3.035.095;7.191.910;6.551.013;491.808;50.899;734.236;13,09%;1,09%;13;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;12/2008;7.495.235;4.708.139;6.333.495;5.692.698;1.161.740;68.704;1.182.019;18,01%;0,97%;7;0
SS;31323;b1;;C;2;SAO PAULO;SP;12/2008;7.451.559;4.260.753;5.994.152;2.963.491;1.457.406;76.459;1.758.976;24,33%;6,18%;5;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;12/2008;7.275.664;4.293.977;5.258.232;4.276.275;2.017.432;89.623;2.048.108;15,69%;4,32%;15;1
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;12/2008;7.239.780;1.930.154;5.354.222;2.708.507;1.885.558;178.099;1.857.378;23,90%;12,75%;104;8
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;12/2008;7.190.702;3.309.694;7.042.369;6.869.720;148.333;7.061;244.540;13,67%;26,43%;5;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;12/2008;6.762.796;3.933.951;6.205.534;5.269.295;557.262;12.394;790.113;14,73%;12,10%;155;3
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;12/2008;6.666.738;3.466.029;5.059.509;4.555.376;1.607.228;67.507;1.607.228;28,17%;4,13%;27;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;12/2008;6.548.748;3.198.855;5.341.949;4.551.754;1.206.799;-179.903;1.206.008;25,13%;47,32%;5;0
PINE;50304;b1;;C;2;SAO PAULO;SP;12/2008;6.181.365;3.029.863;5.354.192;4.902.160;827.173;53.250;870.457;19,20%;1,91%;14;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;12/2008;6.115.356;4.586.906;5.598.645;4.120.349;516.711;11.894;606.912;11,76%;0,34%;2;0
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;12/2008;6.060.363;1.169.417;4.991.909;3.487.682;1.068.454;28.741;1.063.239;20,35%;7,04%;9;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;12/2008;5.951.056;4.508.617;4.927.411;4.679.734;1.023.645;51.980;1.023.210;23,38%;1,91%;3;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;12/2008;5.663.735;2.760.975;4.805.172;2.734.242;858.563;36.419;853.826;18,59%;47,78%;20;0
BANCO IBI S.A. - BANCO MÚLTIPLO;4184779;b1;;I;3;BARUERI;SP;12/2008;5.612.297;4.783.974;4.748.560;2.507.485;863.737;28.460;802.126;18,54%;32,65%;1;0
BRB;31976;b1;;C;1;BRASILIA;DF;12/2008;5.489.216;2.611.942;5.064.888;4.628.463;424.328;40.255;417.058;13,82%;16,73%;62;44
BANCO FININVEST S.A.;33098518;b1;;I;2;RIO DE JANEIRO;RJ;12/2008;5.484.087;2.259.036;1.982.380;938.822;3.501.707;-356.049;0;NI%;0,00%;0;0
BANCO BARCLAYS S.A.;61146577;b1;;I;3;SAO PAULO;SP;12/2008;5.202.852;80.371;4.635.399;1.972.299;567.453;164.318;567.451;22,50%;2,85%;1;0
ING;51073;b1;;C;3;SAO PAULO;SP;12/2008;5.166.214;402.177;4.464.676;1.946.935;701.538;-33.909;701.498;48,41%;0,69%;2;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;12/2008;5.123.953;1.662.445;4.963.584;4.790.987;160.369;-22.140;229.338;16,07%;30,20%;8;1
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;12/2008;4.657.517;3.839.008;3.936.373;3.533.393;721.144;20.824;719.128;17,30%;0,87%;1;0
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;12/2008;3.843.437;2.448.391;3.440.222;2.319.388;403.215;30.299;388.898;14,57%;0,27%;4;0
WESTLB;51554;b1;;I;3;SAO PAULO;SP;12/2008;3.833.454;1.262.226;3.370.006;1.561.781;463.448;35.410;463.448;17,54%;1,08%;1;0
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;12/2008;3.631.499;2.033.286;3.453.524;2.222.853;177.976;5.298;301.135;16,27%;1,42%;2;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;12/2008;3.585.232;500;235.641;78;3.349.592;83.196;3.349.592;56,36%;0,00%;1;0
BANCO FIDIS DE INVESTIMENTO S.A.;62237425;b2;;I;3;BETIM;MG;12/2008;3.230.094;2.083.324;2.908.270;2.481.365;321.824;22.405;321.824;19,44%;0,38%;1;0
BES;51482;b2;;C;3;SAO PAULO;SP;12/2008;3.226.006;262.001;2.973.923;2.220.478;252.083;33.276;342.984;32,31%;7,88%;3;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;12/2008;3.173.532;3.026.150;2.844.599;2.725.883;328.933;2.617;365.596;14,74%;1,35%;2;0
